Store,Address,City,State,Zip,Type,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Sales,Cluster
S0001,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,46.1371726989746,10.3083209991455,7.71972227096558,10.7677097320557,9.71700763702393,0.676215171813965,4.35452222824097,3.55383062362671,6.76549959182739,23507310,1
S0002,12419 Woodside Ave,Lakeside,CA,92040,Existing,45.7559394836426,10.6387481689453,7.88381814956665,11.4903879165649,10.1258029937744,0.742858946323395,3.97857618331909,2.96942806243896,6.41443920135498,17333035,1
S0003,1342 N Alvarado St,Los Angeles,CA,90026,Existing,42.1365776062012,10.2355909347534,6.90251111984253,11.4713287353516,12.5399541854858,0.962577342987061,4.17568349838257,3.6104040145874,7.96537256240845,30239025,2
S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,Existing,45.4579734802246,9.7110595703125,8.02753448486328,12.7728385925293,10.0408496856689,0.611351251602173,4.17813777923584,3.44641280174255,5.7538423538208,27912269,1
S0005,1430 S Fairfax Ave,Los Angeles,CA,90019,Existing,44.0188026428223,10.6268081665039,8.63370895385742,10.1862783432007,13.1113233566284,0.887114524841309,3.53845238685608,2.26016473770142,6.73734855651855,27824254,2
S0006,9643 Mission Gorge Rd,Santee,CA,92071,Existing,45.9851570129395,9.86085414886475,7.44413948059082,10.6915597915649,10.1781558990479,0.826012372970581,4.63059902191162,3.541348695755,6.84217214584351,34623815,1
S0007,820 Arneill Rd,Camarillo,CA,93010,Existing,44.2104148864746,10.213436126709,8.91687965393066,11.513482093811,10.3446578979492,0.783271789550781,4.62942028045654,3.01722097396851,6.37121486663818,30861445,1
S0008,3461 W 3rd St,Los Angeles,CA,90020,Existing,42.8474006652832,10.873218536377,8.0319709777832,10.6877307891846,12.3697052001953,0.78529417514801,3.26186108589172,2.23930048942566,8.9035177230835,29180274,2
S0009,4033 W Avenue L,Lancaster,CA,93536,Existing,44.2265586853027,10.037558555603,7.70498418807983,11.8908414840698,10.3507328033447,0.728389620780945,4.42013263702393,2.57530093193054,8.06550216674805,40676994,3
S0010,1040 Coast Village Rd,Montecito,CA,93108,Existing,43.1469764709473,11.4961814880371,8.03394031524658,10.714825630188,12.1629085540771,1.03750872612,3.70935297012329,3.80460548400879,5.89369964599609,21702276,2
